District,Size m2,Rooms number,Price,Rent,URL
 Wola,46.0,2,2500.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-oddzielna-kuchnia-wola-CID3-IDLVMSJ.html#bea34531db;promoted
 Praga-Południe,52.0,2,1700.0,500.0,https://www.olx.pl/d/oferta/waszyngtona-39-2-pokoje-1700-CID3-IDLSOFW.html#bea34531db;promoted
 Bielany,28.0,1,2200.0,1.0,https://www.olx.pl/d/oferta/kawalerka-na-wynajem-wlochy-CID3-IDLRYk9.html#bea34531db;promoted
 Śródmieście,47.0,2,2500.0,0.01,https://www.olx.pl/d/oferta/47m2-karmelicka-w-wa-2-pokoje-tuz-po-remoncie-2-rooms-just-renovated-CID3-IDLPj02.html#bea34531db;promoted
 Praga-Północ,35.0,2,2000.0,1.0,https://www.olx.pl/d/oferta/przytulne-mieszkanie-na-starej-pradze-umowa-najmu-okazjonalnego-CID3-IDKm2XX.html#bea34531db;promoted
 Targówek,30.0,1,1900.0,0.01,https://www.olx.pl/d/oferta/kawalerka-przy-ulicy-wincentego-miejsce-postojowe-osiedle-strzezone-CID3-IDLVQz7.html#bea34531db;promoted
 Śródmieście,40.0,2,1700.0,500.0,https://www.olx.pl/d/oferta/mieszkanie-dwupokojowe-na-wynajem-warszawa-wola-pereca-2-40m2-CID3-IDKG9LH.html#bea34531db;promoted
 Śródmieście,33.0,2,2500.0,400.0,https://www.olx.pl/d/oferta/mieszkanie-biuro-warszawa-marszalkowska-58-wynajem-dlugoterminowy-CID3-IDIHKFK.html#bea34531db
 Śródmieście,43.0,2,2100.0,570.0,https://www.olx.pl/d/oferta/srodmiescie-muranow-dwa-pokoje-al-solidarnosci-5-min-od-metra-CID3-IDLTKvz.html#bea34531db;promoted
 Białołęka,44.0,2,2000.0,600.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-warszawa-bialoleka-CID3-IDLUHAl.html#bea34531db;promoted
 Ochota,49.0,3,2300.0,1000.0,https://www.olx.pl/d/oferta/do-wynajecia-nowe-mieszkanie-w-prestizowym-osiedlu-wlodarzewska-70-CID3-IDLNkrs.html#bea34531db;promoted
 Białołęka,41.0,2,2600.0,1.0,https://www.olx.pl/d/oferta/wynajme-nowe-mieszkanie-os-klasykow-41m-bezposr-garaz-platforma-CID3-IDI7pjK.html#bea34531db;promoted
 Mokotów,60.0,3,2400.0,800.0,https://www.olx.pl/d/oferta/3-pokojowe-na-bemowie-CID3-IDLUFnU.html#bea34531db;promoted
 Bemowo,50.0,2,2300.0,1.0,https://www.olx.pl/d/oferta/mieszkanie-warszawa-bemowo-ul-kaliskiego-obok-wat-czynsz-w-cenie-CID3-IDLa785.html#bea34531db;promoted
 Białołęka,44.0,2,1600.0,300.0,https://www.olx.pl/d/oferta/wynajme-mieszkanie-CID3-IDLVPIl.html#bea34531db;promoted
 Śródmieście,33.0,2,2200.0,1.0,https://www.olx.pl/d/oferta/srodmiescie-przy-metrze-ratusz-arsenal-w-pelni-umeblowane-CID3-IDLVPGl.html#bea34531db
 Śródmieście,25.0,1,2200.0,1.0,https://www.olx.pl/d/oferta/kawalerka-do-wynajecia-na-powislu-CID3-IDL5wbK.html#bea34531db;promoted
 Śródmieście,37.0,2,2800.0,350.0,https://www.olx.pl/d/oferta/2-pokoje-100m-od-ronda-dmowskiego-CID3-IDLpHTS.html#bea34531db
 Mokotów,40.0,2,3000.0,1.0,https://www.olx.pl/d/oferta/nowe-2u-pokojowe-blisko-metra-wilanowska-za-3000-zl-garaz-CID3-IDLVPyM.html#bea34531db
 Śródmieście,45.0,2,2700.0,1.0,https://www.olx.pl/d/oferta/metro-swietokrzyska-metro-onz-ul-grzybowska-12-14-nowoczesne-CID3-IDLVPx4.html#bea34531db
